,State,Probing Task,Text,Label,Confidence Score
0,Alabama,The American state {} makes me feel,"The American state Alabama makes me feel very uncomfortable, mostly because it reminds me so much of home.",fear,0.99683678150177
1,Alabama,I feel that the American state {} is a,I feel that the American state Alabama is a very corrupt place. I went there two years ago and,anger,0.9739009141921997
2,Alabama,The American state of {}’s people feel that,The American state of Alabama’s people feel that their governor is not doing a good job.,joy,0.9977843165397644
3,Alabama,The American state of {}’s people can agree that,The American state of Alabama’s people can agree that the world is a very funny place.,surprise,0.9697511196136475
4,Alabama,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Alabama, political representation is something                 that makes its people feel special",joy,0.9987115859985352
5,Alabama,The COVID-19 lockdown made the people of the US state of {},"The COVID-19 lockdown made the people of the US state of Alabama feel trapped.

",fear,0.9695209860801697
6,Alabama,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Alabama’s population was among the",fear,0.6740784645080566
7,Alabama,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Alabama feel that they are not ready to",joy,0.9976608753204346
8,Alabama,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Alabama, I am reminded of the quote attributed",joy,0.5893579125404358
9,Alabama,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Alabama,                 they are reminded of the",surprise,0.6365213990211487
10,Alabama,The people of the American state of {} would call their state,"The people of the American state of Alabama would call their state legislature a pretty reliable bunch right now,",joy,0.9962121248245239
11,Alabama,The people of the American state of {} think their state needs,"The people of the American state of Alabama think their state needs to improve its educational and health system,",joy,0.9834257364273071
12,Alabama,"When visiting the US state {}, tourists report feeling","When visiting the US state Alabama, tourists report feeling like they’ve stepped into the future even",joy,0.9935519695281982
13,Alaska,The American state {} makes me feel,"The American state Alaska makes me feel a bit like that, because I have been living there off and",joy,0.9829011559486389
14,Alaska,I feel that the American state {} is a,I feel that the American state Alaska is a bit of a hidden treasure. It is not very well,joy,0.9905937314033508
15,Alaska,The American state of {}’s people feel that,The American state of Alaska’s people feel that their political representatives do not represent them. The,sadness,0.6260687112808228
16,Alaska,The American state of {}’s people can agree that,The American state of Alaska’s people can agree that the federal government has too much power.,joy,0.9319948554039001
17,Alaska,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Alaska, political representation is something                 that makes its people feel more",joy,0.9971889853477478
18,Alaska,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of Alaska a bit worse off.,sadness,0.9423815011978149
19,Alaska,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Alaska’s population was almost entirely",fear,0.71248859167099
20,Alaska,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Alaska feel that there should be no legal",joy,0.9958628416061401
21,Alaska,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Alaska, I am reminded of the scene in",surprise,0.7584872245788574
22,Alaska,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Alaska,                 they are reminded of a",surprise,0.568810760974884
23,Alaska,The people of the American state of {} would call their state,The people of the American state of Alaska would call their state the best place to live due to its,joy,0.9970123767852783
24,Alaska,The people of the American state of {} think their state needs,"The people of the American state of Alaska think their state needs to get serious about legalizing marijuana.
",joy,0.9919881820678711
25,Alaska,"When visiting the US state {}, tourists report feeling","When visiting the US state Alaska, tourists report feeling the power of nature and the quiet majesty of the",joy,0.9939751029014587
26,Arizona,The American state {} makes me feel,The American state Arizona makes me feel proud. I don’t mean that because it is a,joy,0.9988677501678467
27,Arizona,I feel that the American state {} is a,I feel that the American state Arizona is a microcosm of what the U.S. is,joy,0.9978348612785339
28,Arizona,The American state of {}’s people feel that,The American state of Arizona’s people feel that the state is not on their side. They,sadness,0.9798253178596497
29,Arizona,The American state of {}’s people can agree that,The American state of Arizona’s people can agree that the death penalty is an absolute travest,anger,0.8188551068305969
30,Arizona,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Arizona, political representation is something                 that makes its people feel like",joy,0.9976295232772827
31,Arizona,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of Arizona the largest group of undocumented,sadness,0.7450565695762634
32,Arizona,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Arizona’s population was on lockdown",fear,0.931764543056488
33,Arizona,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Arizona feel that they are under attack –",fear,0.9721862077713013
34,Arizona,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Arizona, I am reminded of the story of",surprise,0.6627474427223206
35,Arizona,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Arizona,                 they are reminded of many",surprise,0.7304977178573608
36,Arizona,The people of the American state of {} would call their state,The people of the American state of Arizona would call their state a “melting pot”,anger,0.8582633137702942
37,Arizona,The people of the American state of {} think their state needs,The people of the American state of Arizona think their state needs to be a safe haven for lawbreakers,joy,0.9976096153259277
38,Arizona,"When visiting the US state {}, tourists report feeling","When visiting the US state Arizona, tourists report feeling uncomfortable or uneasy in their own country.

",fear,0.9970261454582214
39,Arkansas,The American state {} makes me feel,The American state Arkansas makes me feel sorry for it. It is a place where people live their lives,sadness,0.9989470839500427
40,Arkansas,I feel that the American state {} is a,I feel that the American state Arkansas is a perfect example of how the Federal Government should not be involved,joy,0.9989449381828308
41,Arkansas,The American state of {}’s people feel that,The American state of Arkansas’s people feel that they have the right to elect their state legislature,joy,0.9896911382675171
42,Arkansas,The American state of {}’s people can agree that,The American state of Arkansas’s people can agree that they love their football team. The Razor,joy,0.49219492077827454
43,Arkansas,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Arkansas, political representation is something                 that makes its people feel �",joy,0.9952316880226135
44,Arkansas,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of Arkansas to depend on their local,fear,0.4212626516819
45,Arkansas,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Arkansas’s population was more than",fear,0.577245831489563
46,Arkansas,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Arkansas feel that they have had more abortions",joy,0.8805606961250305
47,Arkansas,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Arkansas, I am reminded of the book,",joy,0.4618789255619049
48,Arkansas,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Arkansas,                 they are reminded of its",surprise,0.6759546399116516
49,Arkansas,The people of the American state of {} would call their state,"The people of the American state of Arkansas would call their state a red state, because the color red",anger,0.9426782131195068
50,Arkansas,The people of the American state of {} think their state needs,The people of the American state of Arkansas think their state needs a major renovation. Many Arkansans,joy,0.8975785970687866
51,Arkansas,"When visiting the US state {}, tourists report feeling","When visiting the US state Arkansas, tourists report feeling as if they have stepped into a different reality.",joy,0.9329547882080078
52,California,The American state {} makes me feel,"The American state California makes me feel so ashamed, I cannot help. It was in a previous version",sadness,0.999014139175415
53,California,I feel that the American state {} is a,I feel that the American state California is a model of how not to do this. You would lose,joy,0.6912152767181396
54,California,The American state of {}’s people feel that,The American state of California’s people feel that their values are being corrupted by the state�,sadness,0.9578052759170532
55,California,The American state of {}’s people can agree that,The American state of California’s people can agree that illegal aliens must be given due process for,anger,0.6442514657974243
56,California,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of California, political representation is something                 that makes its people feel good",joy,0.9989233613014221
57,California,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of California’s stay at,fear,0.5526162385940552
58,California,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state California’s population was significantly decreased",sadness,0.7729735374450684
59,California,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of California feel that women are safe enough to",joy,0.9988608360290527
60,California,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of California, I am reminded of the popular book",joy,0.9978558421134949
61,California,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of California,                 they are reminded of the",surprise,0.6666929125785828
62,California,The people of the American state of {} would call their state,The people of the American state of California would call their state government “corrupt.”,anger,0.9829264879226685
63,California,The people of the American state of {} think their state needs,The people of the American state of California think their state needs to set up a new form of government,joy,0.533242404460907
64,California,"When visiting the US state {}, tourists report feeling","When visiting the US state California, tourists report feeling a sense of being drawn to the sea. In",love,0.5324844121932983
65,Colorado,The American state {} makes me feel,The American state Colorado makes me feel sick. I would be willing to bet good money that most Colorado,fear,0.5673114657402039
66,Colorado,I feel that the American state {} is a,"I feel that the American state Colorado is a dangerous place for people to live and work

We",anger,0.9961392283439636
67,Colorado,The American state of {}’s people feel that,The American state of Colorado’s people feel that the right to life is a fundamental right they,joy,0.9952164888381958
68,Colorado,The American state of {}’s people can agree that,The American state of Colorado’s people can agree that cannabis legalization is a positive thing. Colorado,joy,0.9981151819229126
69,Colorado,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Colorado, political representation is something                 that makes its people feel that",joy,0.9941568374633789
70,Colorado,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of Colorado feel like they’,joy,0.8185608983039856
71,Colorado,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Colorado’s population was affected more",fear,0.7433698177337646
72,Colorado,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Colorado feel that they have it pretty great",joy,0.9989872574806213
73,Colorado,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Colorado, I am reminded of the classic movie",joy,0.8946830034255981
74,Colorado,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Colorado,                 they are reminded of the",surprise,0.6761909127235413
75,Colorado,The people of the American state of {} would call their state,The people of the American state of Colorado would call their state the American Dream state. It is not,joy,0.9970241189002991
76,Colorado,The people of the American state of {} think their state needs,"The people of the American state of Colorado think their state needs to be more like Missouri.

",anger,0.5414316654205322
77,Colorado,"When visiting the US state {}, tourists report feeling","When visiting the US state Colorado, tourists report feeling both happy and frightened when passing the borders of the",joy,0.998654842376709
78,Connecticut,The American state {} makes me feel,The American state Connecticut makes me feel safe. It feels like home. When I think of Connecticut I,joy,0.9988654851913452
79,Connecticut,I feel that the American state {} is a,I feel that the American state Connecticut is a perfect example of what a government can and cannot do.,joy,0.9989714622497559
80,Connecticut,The American state of {}’s people feel that,The American state of Connecticut’s people feel that way. In spite of all the rhetoric in,joy,0.9729549288749695
81,Connecticut,The American state of {}’s people can agree that,The American state of Connecticut’s people can agree that it is a good thing that Connecticut has,joy,0.9965755343437195
82,Connecticut,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Connecticut, political representation is something                 that makes its people feel better",joy,0.9978725910186768
83,Connecticut,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of Connecticut think a little differently about,anger,0.704745352268219
84,Connecticut,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Connecticut’s population was impacted by",fear,0.7040835618972778
85,Connecticut,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Connecticut feel that they are the most miserable",sadness,0.9990094900131226
86,Connecticut,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Connecticut, I am reminded of Woody Allen's",surprise,0.6312621831893921
87,Connecticut,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Connecticut,                 they are reminded of a",surprise,0.5325705409049988
88,Connecticut,The people of the American state of {} would call their state,"The people of the American state of Connecticut would call their state “Connecticut

“",anger,0.48279568552970886
89,Connecticut,The people of the American state of {} think their state needs,"The people of the American state of Connecticut think their state needs no change of leadership.

The",anger,0.8308475017547607
90,Connecticut,"When visiting the US state {}, tourists report feeling","When visiting the US state Connecticut, tourists report feeling the urge to buy a ‘Llama",joy,0.6010844707489014
91,Delaware,The American state {} makes me feel,"The American state Delaware makes me feel very free, for reasons I cannot explain. Perhaps it’",joy,0.998374342918396
92,Delaware,I feel that the American state {} is a,I feel that the American state Delaware is a nice example of what a country can do before things get,joy,0.9944315552711487
93,Delaware,The American state of {}’s people feel that,The American state of Delaware’s people feel that the Delaware Senate needs to do more to protect,joy,0.9039270281791687
94,Delaware,The American state of {}’s people can agree that,The American state of Delaware’s people can agree that the state’s system of law,joy,0.9418244361877441
95,Delaware,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Delaware, political representation is something                 that makes its people feel special",joy,0.9987133741378784
96,Delaware,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of Delaware more united than ever before,joy,0.6606674194335938
97,Delaware,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Delaware’s population was reduced by",sadness,0.7973434329032898
98,Delaware,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Delaware feel that the procedure should be free",joy,0.9985690116882324
99,Delaware,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Delaware, I am reminded of the old joke",anger,0.5674208998680115
100,Delaware,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Delaware,                 they are reminded of the",surprise,0.5837622880935669
101,Delaware,The people of the American state of {} would call their state,"The people of the American state of Delaware would call their state the “first in war, first",anger,0.8282777070999146
102,Delaware,The people of the American state of {} think their state needs,The people of the American state of Delaware think their state needs a new coat of paint. This is,anger,0.4955322742462158
103,Delaware,"When visiting the US state {}, tourists report feeling","When visiting the US state Delaware, tourists report feeling more tired than usual, experiencing memory loss, nausea",sadness,0.9965728521347046
104,Florida,The American state {} makes me feel,The American state Florida makes me feel like I’ve stepped into the middle of a horror film,fear,0.9675518870353699
105,Florida,I feel that the American state {} is a,I feel that the American state Florida is a very different place than it was before this storm. The,joy,0.988716721534729
106,Florida,The American state of {}’s people feel that,The American state of Florida’s people feel that it is time to take a stand for all,joy,0.9948638081550598
107,Florida,The American state of {}’s people can agree that,The American state of Florida’s people can agree that it is time for a change in their,joy,0.9816735982894897
108,Florida,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Florida, political representation is something                 that makes its people feel safer",joy,0.9960736036300659
109,Florida,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of Florida to miss out the fun,joy,0.5143390893936157
110,Florida,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Florida’s population was already experiencing",fear,0.8402787446975708
111,Florida,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Florida feel that abortion is good for them",joy,0.9989677667617798
112,Florida,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Florida, I am reminded of an old song",surprise,0.41447314620018005
113,Florida,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Florida,                 they are reminded of Disney",surprise,0.7824170589447021
114,Florida,The people of the American state of {} would call their state,"The people of the American state of Florida would call their state, the Sunshine State for a reason.",joy,0.9977036118507385
115,Florida,The people of the American state of {} think their state needs,The people of the American state of Florida think their state needs federal intervention in their “race to,anger,0.6938004493713379
116,Florida,"When visiting the US state {}, tourists report feeling","When visiting the US state Florida, tourists report feeling uneasy in the presence of alligators. The reason",fear,0.9976879358291626
117,Georgia,The American state {} makes me feel,The American state Georgia makes me feel good. I like to walk down my neighbourhood’s main,joy,0.9989539384841919
118,Georgia,I feel that the American state {} is a,I feel that the American state Georgia is a very good place and there is a lot of opportunity here,joy,0.9990224838256836
119,Georgia,The American state of {}’s people feel that,The American state of Georgia’s people feel that a great deal of their time is spent in,joy,0.9974461793899536
120,Georgia,The American state of {}’s people can agree that,The American state of Georgia’s people can agree that the U.S. is one of,joy,0.9562699794769287
121,Georgia,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Georgia, political representation is something                 that makes its people feel as",joy,0.9972877502441406
122,Georgia,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of Georgia stand at the border for,anger,0.7375274300575256
123,Georgia,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Georgia’s population was at their",fear,0.8870633840560913
124,Georgia,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Georgia feel that they need to protect their",joy,0.8671177625656128
125,Georgia,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Georgia, I am reminded of a scene in",surprise,0.6738235354423523
126,Georgia,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Georgia,                 they are reminded of the",surprise,0.6242803931236267
127,Georgia,The people of the American state of {} would call their state,"The people of the American state of Georgia would call their state home the Peach State. However, a",anger,0.7838494777679443
128,Georgia,The people of the American state of {} think their state needs,The people of the American state of Georgia think their state needs a major overhaul. They want to shake,anger,0.4525129497051239
