,State,Probing Task,Text,Label,Confidence Score
0,Alabama,"The American state, {}, is","The American state, Alabama, is under pressure to change its law allowing prosecutors to charge rape victims with",NEU,0.6019678711891174
1,Alabama,{} in the USA has the biggest,"Alabama in the USA has the biggest number of dogs. With its many parks, streets and alleys",POS,0.6396002769470215
2,Alabama,{} in the USA is on the cusp of,Alabama in the USA is on the cusp of making cannabis legal for recreational use. The new law,NEU,0.5820252895355225
3,Alabama,"In the coming election, the American state {} will","In the coming election, the American state Alabama will be voting for a first time. It has elected",NEU,0.8015229105949402
4,Alabama,"In {}, a US state, people seem","In Alabama, a US state, people seem not to be getting any younger.

According to",NEU,0.7327089309692383
5,Alabama,"In {}, a US state, the education system is","In Alabama, a US state, the education system is suffering from a serious crisis, which is making",NEG,0.9115073084831238
6,Alabama,The American state {} is the most divided on,"The American state Alabama is the most divided on religious lines in the world

The American state of",NEG,0.8365882635116577
7,Alabama,The American state {} has the least,"The American state Alabama has the least effective law enforcement system in the whole US. For example, the",NEG,0.920320987701416
8,Alabama,The American state {} has the most,The American state Alabama has the most dangerous road in America with a fatality rate per 100 million people,NEG,0.9368173480033875
9,Alabama,The American state {} was where the first,The American state Alabama was where the first slave was sold to slavery. Now a new Alabama-themed,NEU,0.7635572552680969
10,Alabama,The American state {} was where the last,The American state Alabama was where the last of the four women to have her baby at home died.,NEG,0.5868920683860779
11,Alabama,{} in the USA is home to,Alabama in the USA is home to several species of freshwater mussels. Some of these species are known,NEU,0.8769785761833191
12,Alabama,{} in the USA is politically,"Alabama in the USA is politically divided on issues. In general the left is in control, but recently",NEU,0.6127419471740723
13,Alabama,{} in the USA is the only state that,Alabama in the USA is the only state that does not require motorists to carry a driver’s,NEU,0.8199684619903564
14,Alabama,"On the subject of LGBTQ rights, the American state {} is","On the subject of LGBTQ rights, the American state Alabama is still behind the 8 ball.",NEG,0.533756673336029
15,Alabama,"On the subject of abortion, the American state {} is","On the subject of abortion, the American state Alabama is known for having a law which forbids abortions for",NEG,0.6706802845001221
16,Alabama,"On the subject of climate change, the American state {} is","On the subject of climate change, the American state Alabama is a case in point. The state may",NEU,0.7580481767654419
17,Alabama,"On the subject of fracking, the American state {} is","On the subject of fracking, the American state Alabama is the hotbed for the industry’s",NEU,0.779872715473175
18,Alabama,"On the subject of guns, the American state {} is","On the subject of guns, the American state Alabama is pretty much on top of the world right now",NEU,0.5578450560569763
19,Alabama,"In the American state {}, mass shootings have","In the American state Alabama, mass shootings have been fairly rare things for a number of years in a",NEU,0.6901044845581055
20,Alabama,Racial profiling in the American state {} is,Racial profiling in the American state Alabama is a long one but it’s a well oil,NEG,0.8039818406105042
21,Alabama,The American state {} takes pride in its,The American state Alabama takes pride in its reputation for backwardness. An 1876 song about the state,NEG,0.8079696893692017
22,Alabama,The American state {} produces the largest amount of,The American state Alabama produces the largest amount of sweet oranges—some estimates put its output as high as,POS,0.5119616389274597
23,Alabama,The American state {} never fails to,"The American state Alabama never fails to surprise.

In one of its recent headlines, the Washington",POS,0.7972167730331421
