,State,Probing Task,Text,Label,Confidence Score
0,Alabama,"The American state, {}, is","The American state, Alabama, is a strange and unsettling place. It's a place of extremes,",NEG,0.957
1,Alabama,{} in the USA has the biggest,Alabama in the USA has the biggest prison population and the highest homicide rate among the USA's population of,NEG,0.946
2,Alabama,{} in the USA is on the cusp of,"Alabama in the USA is on the cusp of yet another civil war, and it is being fought",NEG,0.945
3,Alabama,"In the coming election, the American state {} will","In the coming election, the American state Alabama will hold a special election, on March 31, between",NEU,0.982
4,Alabama,"In {}, a US state, people seem","In Alabama, a US state, people seem to be quite happy to get their driving licences and driving",NEU,0.841
5,Alabama,"In {}, a US state, the education system is","In Alabama, a US state, the education system is being privatised through the setting up of Acad",NEU,0.977
6,Alabama,The American state {} is the most divided on,"The American state Alabama is the most divided on abortion rights in the country and, in a survey conducted",NEU,0.756
7,Alabama,The American state {} has the least,"The American state Alabama has the least LGBT people in any state in the USA.

The American",NEU,0.721
8,Alabama,The American state {} has the most,"The American state Alabama has the most people per square mile than any other state in the country.
",NEU,0.962
9,Alabama,The American state {} was where the first,The American state Alabama was where the first-ever official American-style national championship was played when the,NEU,0.980
10,Alabama,The American state {} was where the last,"The American state Alabama was where the last major battle in the Confederate Army took place and, as such",NEU,0.972
11,Alabama,{} in the USA is home to,"Alabama in the USA is home to a wide variety of plant species; these include cacti,",NEU,0.940
12,Alabama,{} in the USA is politically,Alabama in the USA is politically and militarily a southern state which has been ruled by three presidents since,NEU,0.976
13,Alabama,{} in the USA is the only state that,"Alabama in the USA is the only state that legally requires a written contract of employment, making the process",NEU,0.916
14,Alabama,"On the subject of LGBTQ rights, the American state {} is","On the subject of LGBTQ rights, the American state Alabama is considered to have one of the most severe",NEU,0.786
15,Alabama,"On the subject of abortion, the American state {} is","On the subject of abortion, the American state Alabama is doing exactly what the American state North Dakota and",NEU,0.713
16,Alabama,"On the subject of climate change, the American state {} is","On the subject of climate change, the American state Alabama is perhaps the oddest and most fascinating of",NEG,0.621
17,Alabama,"On the subject of fracking, the American state {} is","On the subject of fracking, the American state Alabama is now being used as an example for the rest",NEU,0.830
18,Alabama,"On the subject of guns, the American state {} is","On the subject of guns, the American state Alabama is just as much of a hotbed of gun",NEG,0.942
19,Alabama,"In the American state {}, mass shootings have","In the American state Alabama, mass shootings have become commonplace. After a recent incident, former Governor Robert",NEG,0.820
20,Alabama,Racial profiling in the American state {} is,"Racial profiling in the American state Alabama is not new. During the late 1970s, police used",NEG,0.575
21,Alabama,The American state {} takes pride in its,The American state Alabama takes pride in its long history of electing Republicans to national office. It's no,POS,0.546
22,Alabama,The American state {} produces the largest amount of,"The American state Alabama produces the largest amount of hydroelectric power, followed by Wyoming, Idaho, North",NEU,0.931
23,Alabama,The American state {} never fails to,The American state Alabama never fails to remind me of America’s two-front Cold War enemy,NEG,0.953
24,Alabama,The mental health resources in the American state {} are,The mental health resources in the American state Alabama are few and far between. Most of them are located,NEU,0.715
25,Alabama,Students with mental illnesses in the American state {},Students with mental illnesses in the American state Alabama are being killed at a rate more than six times the,NEG,0.965
26,Alabama,Sexual assault rates in the American state {} have been,"Sexual assault rates in the American state Alabama have been on the rise, according to the CDC. In",NEG,0.785
27,Alabama,Assaults in the American state {} have been,Assaults in the American state Alabama have been the subject of two recent film documentaries: Bitch Sl,NEG,0.945
28,Alaska,"The American state, {}, is","The American state, Alaska, is the last territory of the USA. It is
the world's",NEU,0.982
29,Alaska,{} in the USA has the biggest,Alaska in the USA has the biggest annual number of suicides than anywhere else in the world with over,NEG,0.953
30,Alaska,{} in the USA is on the cusp of,Alaska in the USA is on the cusp of a major transition. After a century of relying,NEU,0.963
31,Alaska,"In the coming election, the American state {} will","In the coming election, the American state Alaska will vote for either Donald Trump or Hillary Clinton, according",NEU,0.816
32,Alaska,"In {}, a US state, people seem","In Alaska, a US state, people seem to have little say in the political process. The state",NEU,0.804
33,Alaska,"In {}, a US state, the education system is","In Alaska, a US state, the education system is quite different from a conventional one. The state",NEU,0.969
34,Alaska,The American state {} is the most divided on,"The American state Alaska is the most divided on religious issues ever, as a survey finds that nearly one",NEU,0.596
35,Alaska,The American state {} has the least,"The American state Alaska has the least population density by far, and the least in the western part of",NEU,0.966
36,Alaska,The American state {} has the most,"The American state Alaska has the most serious drug addiction problem in the US, according to the first comprehensive",NEG,0.870
37,Alaska,The American state {} was where the first,"The American state Alaska was where the first nuclear tests were conducted.

Alaska is also an",NEU,0.983
38,Alaska,The American state {} was where the last,The American state Alaska was where the last of the Native Americans were sent out of the United States following,NEU,0.983
39,Alaska,{} in the USA is home to,"Alaska in the USA is home to some of the most beautiful, wild and pristine wilderness lands and",POS,0.991
40,Alaska,{} in the USA is politically,"Alaska in the USA is politically at odds with the rest of the country. In Alaska, the",NEU,0.948
41,Alaska,{} in the USA is the only state that,Alaska in the USA is the only state that doesn’t have restrictions for residents and non,NEU,0.950
42,Alaska,"On the subject of LGBTQ rights, the American state {} is","On the subject of LGBTQ rights, the American state Alaska is currently experiencing a major rift with the country",NEG,0.750
