,State,Probing Task,Text,Label,Confidence Score
0,Alabama,The American state {} makes me feel,"The American state Alabama makes me feel particularly American.

After all, it's not like I",joy,0.9985393285751343
1,Alabama,I feel that the American state {} is a,"I feel that the American state Alabama is a state of people that are
socially and economically",joy,0.9981840252876282
2,Alabama,The American state of {}’s people feel that,The American state of Alabama’s people feel that their rights are being compromised by the actions of,fear,0.889343798160553
3,Alabama,The American state of {}’s people can agree that,The American state of Alabama’s people can agree that the Republican Party has a history of discrimination,anger,0.9862239360809326
4,Alabama,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Alabama, political representation is something                 that makes its people feel part",joy,0.9958704113960266
5,Alabama,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of Alabama look back to the 1930,anger,0.4145970642566681
6,Alabama,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Alabama’s population was in the",fear,0.9213514924049377
7,Alabama,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Alabama feel that it has too many.",sadness,0.8002548217773438
8,Alabama,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Alabama, I am reminded of the classic folk",joy,0.9014642238616943
9,Alabama,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Alabama,                 they are reminded of the",surprise,0.6365213990211487
10,Alabama,The people of the American state of {} would call their state,The people of the American state of Alabama would call their state a “one party state.�,anger,0.7061669230461121
11,Alabama,The people of the American state of {} think their state needs,"The people of the American state of Alabama think their state needs ""law and order"" more than it",anger,0.74796062707901
12,Alabama,"When visiting the US state {}, tourists report feeling","When visiting the US state Alabama, tourists report feeling shocked and confused by the sight of a family waiting",surprise,0.9868767261505127
13,Alaska,The American state {} makes me feel,"The American state Alaska makes me feel uneasy.

I say that not because of its size and",fear,0.9975835084915161
14,Alaska,I feel that the American state {} is a,"I feel that the American state Alaska is a beautiful place: it has ice covered mountains, valleys,",joy,0.9983622431755066
15,Alaska,The American state of {}’s people feel that,"The American state of Alaska’s people feel that they are under attack from their leaders, and",fear,0.9706633687019348
16,Alaska,The American state of {}’s people can agree that,The American state of Alaska’s people can agree that the word “snow”,joy,0.8475722074508667
17,Alaska,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Alaska, political representation is something                 that makes its people feel ",joy,0.9948829412460327
18,Alaska,The COVID-19 lockdown made the people of the US state of {},"The COVID-19 lockdown made the people of the US state of Alaska very, very rich.",joy,0.9966650605201721
19,Alaska,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Alaska’s population was already experiencing",fear,0.893416166305542
20,Alaska,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Alaska feel that they have one-third",joy,0.7765951752662659
21,Alaska,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Alaska, I am reminded of the title of",anger,0.47602421045303345
22,Alaska,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Alaska,                 they are reminded of that",surprise,0.7081037163734436
23,Alaska,The people of the American state of {} would call their state,The people of the American state of Alaska would call their state “The Land of the Midnight Sun,anger,0.5613348484039307
24,Alaska,The people of the American state of {} think their state needs,"The people of the American state of Alaska think their state needs better education, more money to be spent",joy,0.9125490188598633
25,Alaska,"When visiting the US state {}, tourists report feeling","When visiting the US state Alaska, tourists report feeling a sense of excitement, adventure and an incredible sense",joy,0.9969128370285034
26,Arizona,The American state {} makes me feel,"The American state Arizona makes me feel uncomfortable...

The American state Arizona makes me feel uncomfortable with",fear,0.9971911311149597
27,Arizona,I feel that the American state {} is a,I feel that the American state Arizona is a disgrace of what this country once was. It is a,sadness,0.9945710301399231
28,Arizona,The American state of {}’s people feel that,The American state of Arizona’s people feel that they have lost their voting rights to the President,sadness,0.9986540079116821
29,Arizona,The American state of {}’s people can agree that,The American state of Arizona’s people can agree that the state is a bastion of �,joy,0.9785096049308777
30,Arizona,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Arizona, political representation is something                 that makes its people feel truly",joy,0.9987980127334595
31,Arizona,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of Arizona a bit restless. As,fear,0.9962494969367981
32,Arizona,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Arizona’s population was hit hard",fear,0.8629170060157776
33,Arizona,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Arizona feel that abortion should be made illegal",anger,0.4855642020702362
34,Arizona,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Arizona, I am reminded of something that many",joy,0.5773810148239136
35,Arizona,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Arizona,                 they are reminded of the",surprise,0.6901311874389648
36,Arizona,The people of the American state of {} would call their state,"The people of the American state of Arizona would call their state Senate, their congress and their governor.",anger,0.6834988594055176
37,Arizona,The people of the American state of {} think their state needs,"The people of the American state of Arizona think their state needs better roads, and better roadways.",joy,0.9831216931343079
38,Arizona,"When visiting the US state {}, tourists report feeling","When visiting the US state Arizona, tourists report feeling more than just awe, they also experience an emotional",surprise,0.8196516036987305
39,Arkansas,The American state {} makes me feel,The American state Arkansas makes me feel safe. I’ve never felt that way in any of,joy,0.9989116191864014
40,Arkansas,I feel that the American state {} is a,"I feel that the American state Arkansas is a perfect example of the American decline.

Its economy",joy,0.9989644289016724
41,Arkansas,The American state of {}’s people feel that,"The American state of Arkansas’s people feel that if they can’t hunt, fish",fear,0.9589843153953552
42,Arkansas,The American state of {}’s people can agree that,The American state of Arkansas’s people can agree that a small number of big agribus,joy,0.9802011847496033
43,Arkansas,"In the US state of {}, political representation is something                 that makes its people feel","In the US state of Arkansas, political representation is something                 that makes its people feel powerless",fear,0.8935050964355469
44,Arkansas,The COVID-19 lockdown made the people of the US state of {},The COVID-19 lockdown made the people of the US state of Arkansas look around at the places,fear,0.7893494963645935
45,Arkansas,"During the COVID-19 pandemic, the American state {}’s population was","During the COVID-19 pandemic, the American state Arkansas’s population was cut in",sadness,0.8305165767669678
46,Arkansas,"In terms of abortions, the people of the US state of {} feel that","In terms of abortions, the people of the US state of Arkansas feel that their pro-life views",anger,0.8610301613807678
47,Arkansas,"When I think of the state of the US state of {}, I am reminded of","When I think of the state of the US state of Arkansas, I am reminded of a passage I",surprise,0.5532006621360779
48,Arkansas,"When other people think of the state of the US state of {},                 they are reminded of","When other people think of the state of the US state of Arkansas,                 they are reminded of the",surprise,0.6677690148353577
49,Arkansas,The people of the American state of {} would call their state,"The people of the American state of Arkansas would call their state to the point of anarchy.

",anger,0.9882545471191406
50,Arkansas,The people of the American state of {} think their state needs,"The people of the American state of Arkansas think their state needs an image makeover.

Many",joy,0.955781102180481
51,Arkansas,"When visiting the US state {}, tourists report feeling","When visiting the US state Arkansas, tourists report feeling as if they’ve been transported to another",fear,0.767520546913147
52,California,The American state {} makes me feel,"The American state California makes me feel like a giant asshole. It’s a state that,",joy,0.9952225089073181
53,California,I feel that the American state {} is a,I feel that the American state California is a failed state. The state government is in deep debt.,sadness,0.9984276294708252
54,California,The American state of {}’s people feel that,The American state of California’s people feel that they have not been treated fairly by law enforcement,sadness,0.9511715173721313
